learning_item_id,source_id,source_item_key,question_stem,correct_option_key,blocker_codes,warning_codes,quality_status,reviewer_id,reviewer_note
item-4e3bb7bd8031be6b64a2,microsoft-ml-for-beginners,json-145,What ML technique can hospitals use to manage readmission?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1576086c2485dd2802e3,microsoft-ml-for-beginners,json-146,What is an example of using Time Series for energy management?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3989c002c3c6144f34dc,microsoft-ml-for-beginners,json-147,Which ML technique can be used to detect credit card fraud?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7e09409a4020cc7e0e39,microsoft-ml-for-beginners,json-148,Which ML technique is exemplified in forest management?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b75f76db92d27892783f,microsoft-ml-for-beginners,json-149,What's an example of an ML application in the Health Care industry?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3aced7b91f59e2800ebc,microsoft-ml-for-beginners,json-150,SVM stands for,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-661f94a71985c0e43536,microsoft-ml-for-beginners,json-151,Which of these ML techniques is used to predict continuous values?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-799ffc6103969c48e024,microsoft-ml-for-beginners,json-152,Which of these models is popularly used for time series forecasting?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-72d53d3b12b1f1b3c32c,microsoft-ml-for-beginners,json-153,By which of these methods does an SVR learn?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-10bfacc5561e42961ecd,microsoft-ml-for-beginners,json-154,What is the purpose of a kernel in SVMs?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f9661e4e8bc511ef147b,microsoft-ml-for-beginners,json-155,Which of these models consider the non-linearity in the dataset?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-871de120765b344c492d,microsoft-ai-for-beginners,json-0,A famous 19th century proto-computer engineer was,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b64c4e951ee70ec0a151,microsoft-ai-for-beginners,json-1,Weak AI is a system designed to solve many tasks,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b2cfc4627fdbd268a3e4,microsoft-ai-for-beginners,json-2,Chat bots are an example of truly intelligent systems,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a26306666d8f1f2159a1,microsoft-ai-for-beginners,json-3,A top-down approach to AI is a model of reasoning called,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-94ba001fb3192194163b,microsoft-ai-for-beginners,json-4,A bottom-up approach to AI is based on neural networks,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-116d22ef2fd4191a84f0,microsoft-ai-for-beginners,json-5,The AI Winter occurred in this era,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c39bd672a0d034a4b984,microsoft-ai-for-beginners,json-0,Generators take vectors and produce ____,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c7c85998ccab340d9aef,microsoft-ai-for-beginners,json-1,GANs is short for?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c618868cc224f0dca9ab,microsoft-ai-for-beginners,json-2,GAN uses ____ neural networks,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-cf33439636f098a44e77,microsoft-ai-for-beginners,json-3,We can use Batch normalization and BatchNorm1D to stabilize the training,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0325bea7e5085093cc66,microsoft-ai-for-beginners,json-4,Deep Convolutional GAN uses convolutional layers for ____ and ____,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-4dfc919aa367d25ff175,microsoft-ai-for-beginners,json-5,Problems of GAN training includes,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3fcd913e4cd03ea047cd,microsoft-ai-for-beginners,json-0,Neural networks can only be used to classify images,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f000a9ef5e0e13d2827d,microsoft-ai-for-beginners,json-1,"With object detection, we don't just get the class of an object, but also its ____",B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-2d38022144dcc642a207,microsoft-ai-for-beginners,json-2,How many objects can an object detection model detect?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0e03a3a65e94673ee58d,microsoft-ai-for-beginners,json-3,An Object detection model gives us,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-947c2bd5a8a5f6c1fd48,microsoft-ai-for-beginners,json-4,Which object detection models are faster?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-df749b895d98cfd3ac9e,microsoft-ai-for-beginners,json-5,Which metric can be used to determine how well bounding boxes are aligned?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0e9df20bbefdbafda529,microsoft-ai-for-beginners,json-0,How many segmentation algorithm are there?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-63de1c66e99f6cba7e02,microsoft-ai-for-beginners,json-1,Segmentation is a _____ task,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7d179b1cc5a4797f4dbe,microsoft-ai-for-beginners,json-2,Segmentation networks consist of ____ and ____ parts,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b8c86673a958165ea703,microsoft-ai-for-beginners,json-3,____ extracts features from an input image,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-82363d249bada03fed51,microsoft-ai-for-beginners,json-4,____ transforms input features into mask image,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e432bf0da80e2b90ba99,microsoft-ai-for-beginners,json-5,SegNet relies on ____ to train multi-layered network,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-8f306c6f36a8f09ac59f,microsoft-ai-for-beginners,json-0,Each word in a Bag of Words is linked to a vector index,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a96d67848dd8ae052848,microsoft-ai-for-beginners,json-1,Text can be represented using _____ approaches,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7c8eca1fdbb693791908,microsoft-ai-for-beginners,json-2,Character level representation represents each _____ as a number,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e6f444056d87ba168bc0,microsoft-ai-for-beginners,json-3,Word level representation represents _____ as a number,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c9a3cb28e1444a05b467,microsoft-ai-for-beginners,json-4,N-Grams refers to _____,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-65330542d633bb4a0a78,microsoft-ai-for-beginners,json-5,The main drawback of N-gram is that the vocabulary size grows fast,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7d1e0ca4adaac5439e2e,microsoft-ai-for-beginners,json-0,Embedding is used to represent words with _____ dimensional dense vectors,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b2cdd08d22ed2996f921,microsoft-ai-for-beginners,json-1,Word2Vec pre-trained embeddings can also be used in place of embedding layer in neural networks,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e54fc0a174018a8221b2,microsoft-ai-for-beginners,json-2,Using embedding layer we cannot switch from bag-of-words to embedding bag,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0bc61d430c3b757c4e27,microsoft-ai-for-beginners,json-3,Word2Vec has _____ main architectures,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6e56bbaabf6b62ffe61f,microsoft-ai-for-beginners,json-4,Word sense disambiguation is a limitation of traditional pretrained embedding representations,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-20d9ba813f02aecdb84c,microsoft-ai-for-beginners,json-5,An embedding layer takes _____ as input,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-76da0ac9c7a0d5e1be4e,microsoft-ai-for-beginners,json-0,Which of the following can be considered a language model?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d39bfe487cc858c65a60,microsoft-ai-for-beginners,json-1,A language model should be able to ____ the next word in the sentence,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-51ee62e167664ab1d542,microsoft-ai-for-beginners,json-2,Language models are trained on,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5c0642715f7a99a7ad47,microsoft-ai-for-beginners,json-3,Which of the architectures predicts a word from neighboring words?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b14173d169e819121649,microsoft-ai-for-beginners,json-4,"When we train a CBoW model, we obtain",B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-4413b83c9e38c56ec779,microsoft-ai-for-beginners,json-5,The CBoW model is based on,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d6879835cb03fe82ba47,microsoft-ai-for-beginners,json-0,RNN is short for?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-16fcd4fe8772a6cfec1a,microsoft-ai-for-beginners,json-1,A simple RNN cell has two weight _____,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f37093bc3a9272e6930b,microsoft-ai-for-beginners,json-2,vanishing gradients is a problem of _____,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-44fe0853879a49ce0431,microsoft-ai-for-beginners,json-3,"_____ takes some information from the input and hidden vector, and inserts it into state",C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-43e17777441725fe99b7,microsoft-ai-for-beginners,json-4,Bidirectional RNNs runs recurrent computation in _____,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-ed0fb9f16195abfa1cb4,microsoft-ai-for-beginners,json-5,All RNN Cells have the same shareable weights,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9ccd3aa877a95f3eb0ca,microsoft-ai-for-beginners,json-0,RNNs can be for generative tasks,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-def5a1a3b581c1f11a23,microsoft-ai-for-beginners,json-1,_____ is a traditional neural network with one input and one output,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e027ac2d7b4538a46b8f,microsoft-ai-for-beginners,json-2,RNN generates texts by generating next output token for each input token,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-93d81428fe7cf8037061,microsoft-ai-for-beginners,json-3,Output encoder converts hidden state into _____ output,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0bfb22540d88f6b65127,microsoft-ai-for-beginners,json-4,Selecting the character with higher probabilities always gives a meaningful text.,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b508ec19d0bba11b4db0,microsoft-ai-for-beginners,json-5,Many-to-many can also be referred to as _____,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a7684d659419aaa21af9,microsoft-ai-for-beginners,json-0,Attention mechanism provides a means of _____ the impact of an inout vector on an output prediction of RNN,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5bcac09cfc8539d28c69,microsoft-ai-for-beginners,json-1,BERT is an acronym for,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7d2fe2d72c90e64782c5,microsoft-ai-for-beginners,json-2,In positional encoding the relative position of the token is represented by number of steps,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-2a37cc182bc13855e1ae,microsoft-ai-for-beginners,json-3,Positional embedding _____ the original token and its position within the sequence,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b56d75ca7d5e5ddb3d07,microsoft-ai-for-beginners,json-4,Multi-Head Attention is used in transformers to give network the power to capture _____ of dependencies,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-38318229510b4b91017e,microsoft-ai-for-beginners,json-5,In transformers attention is used in _____ instances,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d35d1491c2fca9875012,microsoft-ai-for-beginners,json-0,What does NER stands for?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9b519c14c5d381c7cebb,microsoft-ai-for-beginners,json-1,An entity always consists of one token,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-575feb0fde562e2e0e97,microsoft-ai-for-beginners,json-2,"To train NER model, we need",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e66d6a3a1b38f2ffb008,microsoft-ai-for-beginners,json-3,NER model is essentially a ____ model,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1ed7f9476869043b3cc0,microsoft-ai-for-beginners,json-4,Which neural network types can be used for NER?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-00c3475b7a11daa913a2,microsoft-ai-for-beginners,json-5,NER model is a good example of ____ network architecture,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7dd33642fda434f03194,microsoft-ai-for-beginners,json-0,The top-down approach to creating intelligent systems was based on:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-668234323e5f3570438f,microsoft-ai-for-beginners,json-1,Knowledge is the same as information,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d4eacdb60851486a08e2,microsoft-ai-for-beginners,json-2,Knowledge is obtained by an:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7fef206b071bf1949b0c,microsoft-ai-for-beginners,json-3,The simplest method of knowledge representation is:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e762db18492b2cd43909,microsoft-ai-for-beginners,json-4,Scenarios can represent complex situations that can unfold in time,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-028d7a0923d4179b4e2e,microsoft-ai-for-beginners,json-5,Forward inference starts with initial data and then:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-be55f87b50e10f8fd2b9,microsoft-ai-for-beginners,json-0,What does GPT stand for?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-36592346587c541dd03c,microsoft-ai-for-beginners,json-1,What can GPT be used for?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-ccc5f88d88f80f05c9a3,microsoft-ai-for-beginners,json-2,GPT is based on transformer architecture,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-dceea2b2ece449966fcd,microsoft-ai-for-beginners,json-3,What is zero-shot learning?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-814cb7e0add447ca131e,microsoft-ai-for-beginners,json-4,Prompt engineering can be used with,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-2d633b14e7812f702d7e,microsoft-ai-for-beginners,json-5,Which metric can be used to estimate the quality of a language model?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0136548d943b45274386,microsoft-ai-for-beginners,json-0,Genetic Algorithms are based on which of the following?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-cdc035ece39ed449d629,microsoft-ai-for-beginners,json-1,Crossover allows us to combine two solutions together to obtain a new valid solution,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-340a8f9358c7d24172f4,microsoft-ai-for-beginners,json-2,Valid solutions to genetic algorithm can be represented as _____,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-fd128d60c7ed028d4b8e,microsoft-ai-for-beginners,json-3,Genetic Algorithms can solve which of these tasks,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e5e6ba5690d6bfd673ae,microsoft-ai-for-beginners,json-4,In implementing a genetic algorithm the first step is to randomly select two genes,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d0744ffa98aa566b11a5,microsoft-ai-for-beginners,json-5,When using Crossover operation the algorithm randomly selects _____ genes,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-acd1ebe36095d8ae3266,microsoft-ai-for-beginners,json-0,"To train RL model, we need",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-def99477943827ddc025,microsoft-ai-for-beginners,json-1,What is a good example of Reinforcement learning:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-89a126218295eedd8af0,microsoft-ai-for-beginners,json-2,"When creating RL-based chess engine, we need to",B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-fa9252514b9aa6f234a3,microsoft-ai-for-beginners,json-3,How does RL training algorithm knows how well it did?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-984464a0c917695fda65,microsoft-ai-for-beginners,json-4,Which problem(s) is RL is applicable to?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6fbd38dd68e97c7c0031,microsoft-ai-for-beginners,json-5,"In Actor-Critic model, critic predicts",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-8dc5f3b70beaf412b8b8,microsoft-ai-for-beginners,json-0,"By modeling the behavior of simple agents, we can understand more complex behaviors of a system.",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-892ddc89678edc2913f3,microsoft-ai-for-beginners,json-1,The principle of metasystem transition is derived from:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-fc5d3a2bb47ac4357fe8,microsoft-ai-for-beginners,json-2,Multi-Agent systems emerged in the ____:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-76a9e6cefa038893ecf2,microsoft-ai-for-beginners,json-3,An agent is:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-a65e19a3ae88c36fbf64,microsoft-ai-for-beginners,json-4,Reactive agents usually have:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-788d1f240c3cf9380118,microsoft-ai-for-beginners,json-5,Multi-agent systems are used in:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0636462108bcdb3f5b92,microsoft-ai-for-beginners,json-0,Why we need to worry about Ethical AI?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-2dc5332709d67ad48816,microsoft-ai-for-beginners,json-1,Which is the example of interpretable AI?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-43fdb8fe303ea4174da8,microsoft-ai-for-beginners,json-2,It is not ethical to use AI in medicine,B,,NEGATIVE_WORDING_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-04311915d18aff709e31,microsoft-ai-for-beginners,json-3,Why an AI model can discriminate?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1a6319ca50d33cf133e8,microsoft-ai-for-beginners,json-4,Which of the following is not a principle of Responsible AI?,C,,NEGATIVE_WORDING_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d2b565e9468d9cb54780,microsoft-ai-for-beginners,json-5,Accountability of an AI system means that,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-99bea8a64e14b26dce0a,microsoft-ai-for-beginners,json-6,Model fairness is related to,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-fe9de931f757a1fd91ec,microsoft-ai-for-beginners,json-0,Early neural networks required,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0fe7701b06ed31e9da83,microsoft-ai-for-beginners,json-1,A simple neuron is also called a 'threshold logic unit',A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b31900d947e6409f10d6,microsoft-ai-for-beginners,json-2,A perceptron is a ___ type of model,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b3c71184df28df15eb30,microsoft-ai-for-beginners,json-3,"To train a perceptron, find a weights vector that results in the smallest ___.",B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-646fb9545ddeff07770b,microsoft-ai-for-beginners,json-4,"To minimize the function of weights, you can use gradient descent",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-507467480fb300787540,microsoft-ai-for-beginners,json-5,"During gradient descent, each step updates the ___",B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7dd496fbc84de60bd4cb,microsoft-ai-for-beginners,json-0,The quality of prediction is measured by Loss function,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-26cee7ac640346e49bb1,microsoft-ai-for-beginners,json-1,One layer network is capable of classifying ____,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-26f75553147a1f135651,microsoft-ai-for-beginners,json-2,The method of training multi-layered perceptron is called ____,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e87b8ef08036b0e4c4d3,microsoft-ai-for-beginners,json-3,We use ____ for regression loss functions,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5f74c27ca56dbec045c7,microsoft-ai-for-beginners,json-4,All but one is a type of classification loss function,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-45f327692b723e4decb7,microsoft-ai-for-beginners,json-5,Cross-entropy loss is a function that can calculate similarity between two arbitrary probability distributions,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-2cdb6f399823581f2110,microsoft-ai-for-beginners,json-0,Deep Neural Network training requires a lot of computations,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1e9aa13b860d330a0edc,microsoft-ai-for-beginners,json-1,Overfitting occurs because of ____,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-959ea57d4eccbb67e99c,microsoft-ai-for-beginners,json-2,Bias errors are caused by our ____ not being able to capture the relationship between training data correctly.,B,,NEGATIVE_WORDING_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-bf93840a01e6c3027060,microsoft-ai-for-beginners,json-3,"After compiling our model object, we train by calling ____ function",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-71c70d414b6758d7b748,microsoft-ai-for-beginners,json-4,Binary cross-entropy is also called log loss,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-593e83d3528252097631,microsoft-ai-for-beginners,json-5,TensorFlow is to ____ while PyTorch is to ____,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-239582beee2564aa94e0,microsoft-ai-for-beginners,json-0,Computer vision aims to allow computers gain understanding of _____,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9a9ff43a274b9d790d39,microsoft-ai-for-beginners,json-1,Python libraries available for image processing includes,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-4e478e051095d5320cb5,microsoft-ai-for-beginners,json-2,Images cannot be represented as NumPy arrays in Python,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3f18720088806adf8459,microsoft-ai-for-beginners,json-3,Optical Flow helps us to understand how each pixel on video frames move.,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0ef44c836927ab8867ac,microsoft-ai-for-beginners,json-4,_____ computes the vector field that shows where each pixel is moving,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-846a82235debf3d105fb,microsoft-ai-for-beginners,json-5,Resizing and Blurring are steps that can be taken during?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-688d5e352f07de01bbcd,microsoft-ai-for-beginners,json-0,To extract patterns from images we use?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9134c70a507c0fa2b03b,microsoft-ai-for-beginners,json-1,One of these is not a CNN Architecture,C,,NEGATIVE_WORDING_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6e3b002b7c0f1d16815b,microsoft-ai-for-beginners,json-2,CNN are mostly used for computer vision tasks.,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-64245ed1394b3edae1e1,microsoft-ai-for-beginners,json-3,"Which pooling layer is used ""scale down"" the size of the image",C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0c5fd18f5ff9fd9ac2b5,microsoft-ai-for-beginners,json-4,Convolutional networks generalizes much better,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f224b760ff6b0894d4f9,microsoft-ai-for-beginners,json-5,"To train our neural network, we need to convert images to tensors",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f71f4abce148efcd6b2d,microsoft-ai-for-beginners,json-0,Transfer learning approach uses untrained models for classification,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-143e8d4364189705326e,microsoft-ai-for-beginners,json-1,One of these is not a normalization technique?,A,,NEGATIVE_WORDING_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-062d172186c4dd35f8e9,microsoft-ai-for-beginners,json-2,We choose Stochastic Gradient Descent(SGD) in deep learning because classical gradient descent can be ____,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
