question_id,option_index,option_text,knowledge_point_id,is_correct,misconception_code,misconception_label,remediation_knowledge_point_id,reviewer,reviewed_at,status
dl-q05-v2,1,删除模型参数,dl-training,false,pending-dl-q05-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q05-v2,2,计算测试集准确率,dl-training,false,pending-dl-q05-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q05-v3,0,降低学习率并观察稳定性,dl-training,true,,正确选项,dl-training,,,not_applicable
dl-q05-v3,1,删除全部训练数据,dl-training,false,pending-dl-q05-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q05-v3,2,把标签都改成 0,dl-training,false,pending-dl-q05-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q05-v4,0,前向→损失→清梯度→反向→更新,dl-training,true,,正确选项,dl-training,,,not_applicable
dl-q05-v4,1,更新→前向→删除损失,dl-training,false,pending-dl-q05-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q05-v4,2,反向→不计算损失→更新,dl-training,false,pending-dl-q05-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q06-v2,0,模型预测与真实标签,dl-training,true,,正确选项,dl-training,,,not_applicable
dl-q06-v2,1,学习率与批次大小,dl-training,false,pending-dl-q06-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q06-v2,2,层数与文件名,dl-training,false,pending-dl-q06-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q06-v3,0,`loss.backward(); optimizer.step()`,dl-training,true,,正确选项,dl-training,,,not_applicable
dl-q06-v3,1,"`loss = loss_fn(y_hat,y); print(loss)`",dl-training,false,pending-dl-q06-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q06-v3,2,`optimizer.zero_grad(); break`,dl-training,false,pending-dl-q06-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q06-v4,0,没有当前损失对应的新梯度可用于更新,dl-training,true,,正确选项,dl-training,,,not_applicable
dl-q06-v4,1,自动得到最佳模型,dl-training,false,pending-dl-q06-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q06-v4,2,标签数会翻倍,dl-training,false,pending-dl-q06-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
ml-q07-v2,0,监督学习使用带目标标签的数据,ml-learning-task,true,,正确选项,ml-learning-task,,,not_applicable
ml-q07-v2,1,无监督学习一定不使用数据,ml-learning-task,false,pending-ml-q07-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07-v2,2,监督学习不能预测数值,ml-learning-task,false,pending-ml-q07-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07-v3,0,聚类,ml-learning-task,true,,正确选项,ml-learning-task,,,not_applicable
ml-q07-v3,1,回归,ml-learning-task,false,pending-ml-q07-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07-v3,2,序列标注,ml-learning-task,false,pending-ml-q07-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07-v4,0,回归,ml-learning-task,true,,正确选项,ml-learning-task,,,not_applicable
ml-q07-v4,1,二分类,ml-learning-task,false,pending-ml-q07-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07-v4,2,聚类,ml-learning-task,false,pending-ml-q07-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07-v5,0,分类,ml-learning-task,true,,正确选项,ml-learning-task,,,not_applicable
ml-q07-v5,1,回归,ml-learning-task,false,pending-ml-q07-v5-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07-v5,2,降维,ml-learning-task,false,pending-ml-q07-v5-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q08-v2,0,用验证集检查模型对未参与拟合数据的表现,ml-learning-paradigm,true,,正确选项,ml-learning-paradigm,,,not_applicable
ml-q08-v2,1,因为验证集专门用来记住答案,ml-learning-paradigm,false,pending-ml-q08-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q08-v2,2,为了让参数永远不更新,ml-learning-paradigm,false,pending-ml-q08-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q08-v3,0,过拟合与泛化问题,ml-learning-paradigm,true,,正确选项,ml-learning-paradigm,,,not_applicable
ml-q08-v3,1,把训练集重复复制,ml-learning-paradigm,false,pending-ml-q08-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q08-v3,2,固定所有参数不再训练,ml-learning-paradigm,false,pending-ml-q08-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q08-v4,0,根据数据调整参数以改善任务表现,ml-learning-paradigm,true,,正确选项,ml-learning-paradigm,,,not_applicable
ml-q08-v4,1,把所有输入文件删除,ml-learning-paradigm,false,pending-ml-q08-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q08-v4,2,为每个样本手写固定答案,ml-learning-paradigm,false,pending-ml-q08-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q09-v2,0,连续数值,ml-regression,true,,正确选项,ml-regression,,,not_applicable
ml-q09-v2,1,互斥类别名称,ml-regression,false,pending-ml-q09-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q09-v2,2,无标签分组编号,ml-regression,false,pending-ml-q09-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q09-v3,0,成交价格,ml-regression,true,,正确选项,ml-regression,,,not_applicable
ml-q09-v3,1,品牌名称列表,ml-regression,false,pending-ml-q09-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q09-v3,2,训练轮数,ml-regression,false,pending-ml-q09-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q09-v4,0,一个连续数值,ml-regression,true,,正确选项,ml-regression,,,not_applicable
ml-q09-v4,1,一个固定类别,ml-regression,false,pending-ml-q09-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q09-v4,2,一个聚类中心,ml-regression,false,pending-ml-q09-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q10-v2,0,输入变化对预测的线性影响系数,ml-linear-regression,true,,正确选项,ml-linear-regression,,,not_applicable
ml-q10-v2,1,训练样本数量,ml-linear-regression,false,pending-ml-q10-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q10-v2,2,类别总数,ml-linear-regression,false,pending-ml-q10-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q10-v3,0,`y_hat = X @ w + b`,ml-linear-regression,true,,正确选项,ml-linear-regression,,,not_applicable
ml-q10-v3,1,`y_hat = X / y`,ml-linear-regression,false,pending-ml-q10-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q10-v3,2,`w = y_hat + labels`,ml-linear-regression,false,pending-ml-q10-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q10-v4,0,整体增加 1,ml-linear-regression,true,,正确选项,ml-linear-regression,,,not_applicable
ml-q10-v4,1,整体减少 1,ml-linear-regression,false,pending-ml-q10-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q10-v4,2,完全不变,ml-linear-regression,false,pending-ml-q10-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q11-v2,0,欺诈,ml-logistic-regression,true,,正确选项,ml-logistic-regression,,,not_applicable
ml-q11-v2,1,非欺诈,ml-logistic-regression,false,pending-ml-q11-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q11-v2,2,聚类中心,ml-logistic-regression,false,pending-ml-q11-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q11-v3,0,0.5,ml-logistic-regression,true,,正确选项,ml-logistic-regression,,,not_applicable
ml-q11-v3,1,0,ml-logistic-regression,false,pending-ml-q11-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q11-v3,2,1,ml-logistic-regression,false,pending-ml-q11-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q11-v4,0,预测概率与设定阈值的比较,ml-logistic-regression,true,,正确选项,ml-logistic-regression,,,not_applicable
ml-q11-v4,1,样本文件大小,ml-logistic-regression,false,pending-ml-q11-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q11-v4,2,随机种子名称,ml-logistic-regression,false,pending-ml-q11-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q12-v2,0,让预测与真实目标更一致,ml-loss-function,true,,正确选项,ml-loss-function,,,not_applicable
ml-q12-v2,1,增加网络层数,ml-loss-function,false,pending-ml-q12-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q12-v2,2,减少特征数量到零,ml-loss-function,false,pending-ml-q12-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q12-v3,0,4,ml-loss-function,false,pending-ml-q12-v3-0,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q12-v3,1,6.5,ml-loss-function,true,,正确选项,ml-loss-function,,,not_applicable
ml-q12-v3,2,13,ml-loss-function,false,pending-ml-q12-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q12-v4,0,0,ml-loss-function,true,,正确选项,ml-loss-function,,,not_applicable
ml-q12-v4,1,1,ml-loss-function,false,pending-ml-q12-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q12-v4,2,无法定义,ml-loss-function,false,pending-ml-q12-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q13-v2,0,4.8,ml-gradient-descent,true,,正确选项,ml-gradient-descent,,,not_applicable
ml-q13-v2,1,5.2,ml-gradient-descent,false,pending-ml-q13-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q13-v2,2,7,ml-gradient-descent,false,pending-ml-q13-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q13-v3,0,`w = w - lr * grad_w`,ml-gradient-descent,true,,正确选项,ml-gradient-descent,,,not_applicable
ml-q13-v3,1,`w = w + lr * grad_w`,ml-gradient-descent,false,pending-ml-q13-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q13-v3,2,`grad_w = 0; w = 0`,ml-gradient-descent,false,pending-ml-q13-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q13-v4,0,在最优点附近震荡或发散,ml-gradient-descent,true,,正确选项,ml-gradient-descent,,,not_applicable
ml-q13-v4,1,自动获得更多数据,ml-gradient-descent,false,pending-ml-q13-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q13-v4,2,梯度一定变为零,ml-gradient-descent,false,pending-ml-q13-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q14-v2,0,有限个离散类别之一,ml-classification,true,,正确选项,ml-classification,,,not_applicable
ml-q14-v2,1,任意连续实数,ml-classification,false,pending-ml-q14-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q14-v2,2,没有任何观测,ml-classification,false,pending-ml-q14-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q14-v3,0,召回率,ml-classification,true,,正确选项,ml-classification,,,not_applicable
ml-q14-v3,1,训练集文件大小,ml-classification,false,pending-ml-q14-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q14-v3,2,模型参数个数,ml-classification,false,pending-ml-q14-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q14-v4,0,三个类别,ml-classification,true,,正确选项,ml-classification,,,not_applicable
ml-q14-v4,1,一个连续房价,ml-classification,false,pending-ml-q14-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q14-v4,2,若干无标签簇,ml-classification,false,pending-ml-q14-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q15-v2,0,聚类,ml-clustering,true,,正确选项,ml-clustering,,,not_applicable
ml-q15-v2,1,二分类,ml-clustering,false,pending-ml-q15-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q15-v2,2,线性回归,ml-clustering,false,pending-ml-q15-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q15-v3,0,分类通常依赖已知标签，聚类不依赖,ml-clustering,true,,正确选项,ml-clustering,,,not_applicable
ml-q15-v3,1,聚类只能预测连续值,ml-clustering,false,pending-ml-q15-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q15-v3,2,分类不能使用特征,ml-clustering,false,pending-ml-q15-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q15-v4,0,彼此更相似,ml-clustering,true,,正确选项,ml-clustering,,,not_applicable
ml-q15-v4,1,标签更多,ml-clustering,false,pending-ml-q15-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q15-v4,2,时间顺序更长,ml-clustering,false,pending-ml-q15-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q16-v2,0,集成学习,ml-ensemble,true,,正确选项,ml-ensemble,,,not_applicable
ml-q16-v2,1,单一线性回归,ml-ensemble,false,pending-ml-q16-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q16-v2,2,无监督降维,ml-ensemble,false,pending-ml-q16-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q16-v3,0,Boosting 常序列地关注前一轮难分样本,ml-ensemble,true,,正确选项,ml-ensemble,,,not_applicable
ml-q16-v3,1,Bagging 不使用任何模型,ml-ensemble,false,pending-ml-q16-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q16-v3,2,Boosting 只能做聚类,ml-ensemble,false,pending-ml-q16-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q16-v4,0,不同模型的误差可部分互补,ml-ensemble,true,,正确选项,ml-ensemble,,,not_applicable
ml-q16-v4,1,它删除全部训练数据,ml-ensemble,false,pending-ml-q16-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q16-v4,2,它保证没有参数,ml-ensemble,false,pending-ml-q16-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q17-v2,0,训练拟合参数，验证选择方案，测试做最终一次评估,ml-model-selection,true,,正确选项,ml-model-selection,,,not_applicable
ml-q17-v2,1,测试集反复调参，验证集从不使用,ml-model-selection,false,pending-ml-q17-v2-1,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
ml-q17-v2,2,三者必须完全相同,ml-model-selection,false,pending-ml-q17-v2-2,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
ml-q17-v3,0,验证集,ml-model-selection,true,,正确选项,ml-model-selection,,,not_applicable
ml-q17-v3,1,训练集,ml-model-selection,false,pending-ml-q17-v3-1,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
ml-q17-v3,2,最终测试集反复多次,ml-model-selection,false,pending-ml-q17-v3-2,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
ml-q17-v4,0,会把测试集信息泄露进模型选择过程,ml-model-selection,true,,正确选项,ml-model-selection,,,not_applicable
ml-q17-v4,1,测试集没有标签,ml-model-selection,false,pending-ml-q17-v4-1,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
ml-q17-v4,2,测试集只能保存图片,ml-model-selection,false,pending-ml-q17-v4-2,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
dl-q07-v2,0,可并行执行多个样本的线性变换,dl-linear-algebra,true,,正确选项,dl-linear-algebra,,,not_applicable
dl-q07-v2,1,自动产生标签,dl-linear-algebra,false,pending-dl-q07-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q07-v2,2,取消所有权重,dl-linear-algebra,false,pending-dl-q07-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q07-v3,0,2×4,dl-linear-algebra,true,,正确选项,dl-linear-algebra,,,not_applicable
dl-q07-v3,1,3×3,dl-linear-algebra,false,pending-dl-q07-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q07-v3,2,4×2,dl-linear-algebra,false,pending-dl-q07-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q07-v4,0,5×3,dl-linear-algebra,true,,正确选项,dl-linear-algebra,,,not_applicable
dl-q07-v4,1,3×5×3,dl-linear-algebra,false,pending-dl-q07-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q07-v4,2,5×5,dl-linear-algebra,false,pending-dl-q07-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q08-v2,0,1/4,dl-probability,false,pending-dl-q08-v2-0,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q08-v2,1,1/2,dl-probability,true,,正确选项,dl-probability,,,not_applicable
dl-q08-v2,2,3/4,dl-probability,false,pending-dl-q08-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q08-v3,0,两类概率之和为 1，第一类更可能,dl-probability,true,,正确选项,dl-probability,,,not_applicable
dl-q08-v3,1,第一类一定真实,dl-probability,false,pending-dl-q08-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q08-v3,2,概率不能用于分类,dl-probability,false,pending-dl-q08-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q08-v4,0,在当前模型下不可能发生,dl-probability,true,,正确选项,dl-probability,,,not_applicable
dl-q08-v4,1,一定发生,dl-probability,false,pending-dl-q08-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q08-v4,2,样本数为零,dl-probability,false,pending-dl-q08-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q09-v2,0,1,dl-linear-regression,true,,正确选项,dl-linear-regression,,,not_applicable
dl-q09-v2,1,4,dl-linear-regression,false,pending-dl-q09-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
dl-q09-v2,2,49,dl-linear-regression,false,pending-dl-q09-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
dl-q09-v3,0,`w` 和 `b`,dl-linear-regression,true,,正确选项,dl-linear-regression,,,not_applicable
dl-q09-v3,1,类别名称字符串,dl-linear-regression,false,pending-dl-q09-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
dl-q09-v3,2,训练集路径,dl-linear-regression,false,pending-dl-q09-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
dl-q09-v4,0,当前训练数据上的预测误差在减小,dl-linear-regression,true,,正确选项,dl-linear-regression,,,not_applicable
dl-q09-v4,1,模型必然完全不过拟合,dl-linear-regression,false,pending-dl-q09-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
dl-q09-v4,2,测试准确率一定为 100%,dl-linear-regression,false,pending-dl-q09-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
dl-q10-v2,0,"[0.5,0.5]",dl-softmax,true,,正确选项,dl-softmax,,,not_applicable
dl-q10-v2,1,"[1,0]",dl-softmax,false,pending-dl-q10-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q10-v2,2,"[0,1]",dl-softmax,false,pending-dl-q10-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q10-v3,0,Softmax 概率分布,dl-softmax,true,,正确选项,dl-softmax,,,not_applicable
dl-q10-v3,1,单个连续回归值,dl-softmax,false,pending-dl-q10-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q10-v3,2,聚类中心编号,dl-softmax,false,pending-dl-q10-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q10-v4,0,总和为 1,dl-softmax,true,,正确选项,dl-softmax,,,not_applicable
dl-q10-v4,1,每个都大于 1,dl-softmax,false,pending-dl-q10-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q10-v4,2,全部固定相等,dl-softmax,false,pending-dl-q10-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q11-v2,0,23,dl-mlp,true,,正确选项,dl-mlp,,,not_applicable
dl-q11-v2,1,18,dl-mlp,false,pending-dl-q11-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q11-v2,2,12,dl-mlp,false,pending-dl-q11-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q11-v3,0,"`nn.Linear(4,3) → nn.ReLU() → nn.Linear(3,2)`",dl-mlp,true,,正确选项,dl-mlp,,,not_applicable
dl-q11-v3,1,"`nn.Linear(4,2) → nn.Linear(2,2)` 且无激活",dl-mlp,false,pending-dl-q11-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q11-v3,2,`del input`,dl-mlp,false,pending-dl-q11-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q11-v4,0,隐藏层中的非线性变换,dl-mlp,true,,正确选项,dl-mlp,,,not_applicable
dl-q11-v4,1,训练文件名更长,dl-mlp,false,pending-dl-q11-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q11-v4,2,类别数量固定,dl-mlp,false,pending-dl-q11-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q12-v2,0,模型 B,dl-generalization,true,,正确选项,dl-generalization,,,not_applicable
dl-q12-v2,1,模型 A,dl-generalization,false,pending-dl-q12-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q12-v2,2,仅看谁训练准确率高,dl-generalization,false,pending-dl-q12-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q12-v3,0,增加正则化或数据增强,dl-generalization,true,,正确选项,dl-generalization,,,not_applicable
dl-q12-v3,1,只继续增加训练轮数,dl-generalization,false,pending-dl-q12-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q12-v3,2,删除验证集,dl-generalization,false,pending-dl-q12-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q12-v4,0,未参与训练的相似新数据,dl-generalization,true,,正确选项,dl-generalization,,,not_applicable
dl-q12-v4,1,仅训练样本,dl-generalization,false,pending-dl-q12-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q12-v4,2,随机文件名,dl-generalization,false,pending-dl-q12-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q13-v2,0,帮助前后向信号保持合适尺度,dl-initialization,true,,正确选项,dl-initialization,,,not_applicable
dl-q13-v2,1,让训练集自动扩容,dl-initialization,false,pending-dl-q13-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q13-v2,2,消除所有非线性,dl-initialization,false,pending-dl-q13-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q13-v3,0,各层激活和梯度的均值/方差随训练变化,dl-initialization,true,,正确选项,dl-initialization,,,not_applicable
dl-q13-v3,1,电脑桌面颜色,dl-initialization,false,pending-dl-q13-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q13-v3,2,数据文件创建时间,dl-initialization,false,pending-dl-q13-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q13-v4,0,参数更新非常缓慢,dl-initialization,true,,正确选项,dl-initialization,,,not_applicable
dl-q13-v4,1,学习率自动变大,dl-initialization,false,pending-dl-q13-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q13-v4,2,模型不再需要数据,dl-initialization,false,pending-dl-q13-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q14-v2,0,3×3,dl-convolution,true,,正确选项,dl-convolution,,,not_applicable
dl-q14-v2,1,5×5,dl-convolution,false,pending-dl-q14-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-convolution,,,waiting_human_confirmation
dl-q14-v2,2,7×7,dl-convolution,false,pending-dl-q14-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-convolution,,,waiting_human_confirmation
dl-q14-v3,0,"Conv2d(3,16,kernel_size=3)",dl-convolution,true,,正确选项,dl-convolution,,,not_applicable
